weekday,date,month,week,sampling,temperature,resources,salt
Fri,23.Jun.23,9,33,99,28,2.82,2.51
Mon,26.Jun.23,9,34,100,28,2.82,2.51
Wed,28.Jun.23,9,34,101,28,2.82,2.51
Fri,30.Jun.23,9,34,102,28,2.82,2.51
Mon,03.Jul.23,9,35,103,28,2.82,2.51
Wed,05.Jul.23,9,35,104,28,2.82,2.51
Fri,07.Jul.23,9,35,105,28,2.82,2.51
Mon,10.Jul.23,9,36,106,28,2.82,2.51
Wed,12.Jul.23,9,36,107,28,2.82,2.51
Fri,14.Jul.23,9,36,108,28,2.82,2.51
Mon,17.Jul.23,10,37,109,28,2.82,2.51
Wed,19.Jul.23,10,37,110,28,2.82,2.51
Fri,21.Jul.23,10,37,111,28,2.82,2.51
Mon,24.Jul.23,10,38,112,28,2.82,2.51
Wed,26.Jul.23,10,38,113,28,2.82,2.51
Fri,28.Jul.23,10,38,114,28,2.82,2.51
Mon,31.Jul.23,10,39,115,28,2.82,2.51
Wed,02.Aug.23,10,39,116,28,2.82,2.51
Fri,04.Aug.23,10,39,117,28,2.82,2.51
Mon,07.Aug.23,10,40,118,28,2.82,2.51
Wed,09.Aug.23,10,40,119,28,2.82,2.51
Fri,11.Aug.23,10,40,120,28,2.82,2.51
