file	date	bottle	nutrient_treatment	temperature_treatment	salt_treatment	replicate	magnification	dilution_factor	sample	video
%%TIMESTAMP%%_00156	%%DD%%.%%MM%%.%%YY%%	b_19					16	1	1	2
%%TIMESTAMP%%_00157	%%DD%%.%%MM%%.%%YY%%	b_19					16	1	1	3
%%TIMESTAMP%%_00158	%%DD%%.%%MM%%.%%YY%%	b_20					16	1	1	1
%%TIMESTAMP%%_00159	%%DD%%.%%MM%%.%%YY%%	b_20					16	1	1	2
%%TIMESTAMP%%_00160	%%DD%%.%%MM%%.%%YY%%	b_20					16	1	1	3
%%TIMESTAMP%%_00161	%%DD%%.%%MM%%.%%YY%%	b_21					16	1	1	1
%%TIMESTAMP%%_00162	%%DD%%.%%MM%%.%%YY%%	b_21					16	1	1	2
%%TIMESTAMP%%_00163	%%DD%%.%%MM%%.%%YY%%	b_21					16	1	1	3
%%TIMESTAMP%%_00164	%%DD%%.%%MM%%.%%YY%%	b_22					16	1	1	1
%%TIMESTAMP%%_00165	%%DD%%.%%MM%%.%%YY%%	b_22					16	1	1	2
%%TIMESTAMP%%_00166	%%DD%%.%%MM%%.%%YY%%	b_22					16	1	1	3
%%TIMESTAMP%%_00167	%%DD%%.%%MM%%.%%YY%%	b_23					16	1	1	1
%%TIMESTAMP%%_00168	%%DD%%.%%MM%%.%%YY%%	b_23					16	1	1	2
%%TIMESTAMP%%_00169	%%DD%%.%%MM%%.%%YY%%	b_23					16	1	1	3
%%TIMESTAMP%%_00170	%%DD%%.%%MM%%.%%YY%%	b_24					16	1	1	1
%%TIMESTAMP%%_00171	%%DD%%.%%MM%%.%%YY%%	b_24					16	1	1	2
%%TIMESTAMP%%_00172	%%DD%%.%%MM%%.%%YY%%	b_24					16	1	1	3
%%TIMESTAMP%%_00173	%%DD%%.%%MM%%.%%YY%%	b_25					16	1	1	1
%%TIMESTAMP%%_00174	%%DD%%.%%MM%%.%%YY%%	b_25					16	1	1	2
%%TIMESTAMP%%_00175	%%DD%%.%%MM%%.%%YY%%	b_25					16	1	1	3
%%TIMESTAMP%%_00176	%%DD%%.%%MM%%.%%YY%%	b_26					16	1	1	1
%%TIMESTAMP%%_00177	%%DD%%.%%MM%%.%%YY%%	b_26					16	1	1	2
%%TIMESTAMP%%_00178	%%DD%%.%%MM%%.%%YY%%	b_26					16	1	1	3
%%TIMESTAMP%%_00179	%%DD%%.%%MM%%.%%YY%%	b_27					16	1	1	1
%%TIMESTAMP%%_00180	%%DD%%.%%MM%%.%%YY%%	b_27					16	1	1	2
%%TIMESTAMP%%_00181	%%DD%%.%%MM%%.%%YY%%	b_27					16	1	1	3
%%TIMESTAMP%%_00182	%%DD%%.%%MM%%.%%YY%%	b_28					16	1	1	1
%%TIMESTAMP%%_00183	%%DD%%.%%MM%%.%%YY%%	b_28					16	1	1	2
%%TIMESTAMP%%_00184	%%DD%%.%%MM%%.%%YY%%	b_28					16	1	1	3
%%TIMESTAMP%%_00185	%%DD%%.%%MM%%.%%YY%%	b_29					16	1	1	1
%%TIMESTAMP%%_00186	%%DD%%.%%MM%%.%%YY%%	b_29					16	1	1	2
%%TIMESTAMP%%_00187	%%DD%%.%%MM%%.%%YY%%	b_29					16	1	1	3
%%TIMESTAMP%%_00188	%%DD%%.%%MM%%.%%YY%%	b_30					16	1	1	1
%%TIMESTAMP%%_00189	%%DD%%.%%MM%%.%%YY%%	b_30					16	1	1	2
%%TIMESTAMP%%_00190	%%DD%%.%%MM%%.%%YY%%	b_30					16	1	1	3
%%TIMESTAMP%%_00191	%%DD%%.%%MM%%.%%YY%%	b_31					16	1	1	1
%%TIMESTAMP%%_00192	%%DD%%.%%MM%%.%%YY%%	b_31					16	1	1	2
%%TIMESTAMP%%_00193	%%DD%%.%%MM%%.%%YY%%	b_31					16	1	1	3
%%TIMESTAMP%%_00194	%%DD%%.%%MM%%.%%YY%%	b_32					16	1	1	1
%%TIMESTAMP%%_00195	%%DD%%.%%MM%%.%%YY%%	b_32					16	1	1	2
%%TIMESTAMP%%_00196	%%DD%%.%%MM%%.%%YY%%	b_32					16	1	1	3
